날짜,항공사,출발시간,가격
2024.03.15 Fri,에어서울,"07:15ICN09:05KIX직항, 01시간 50분","성인/Mile1 하나카드편도 195,200원~"
2024.03.15 Fri,이스타항공,"09:05ICN10:55KIX직항, 01시간 50분","성인/KB국민카드(이용실적 충족시)편도 199,000원~"
2024.03.15 Fri,제주항공,"07:00ICN09:00KIX직항, 02시간 00분","성인/삼성카드편도 209,200원~"
2024.03.15 Fri,진에어,"08:55ICN10:50KIX직항, 01시간 55분","성인/KB국민카드(이용실적 충족시)편도 223,700원~"
2024.03.15 Fri,티웨이항공,"12:10ICN14:00KIX직항, 01시간 50분","성인/삼성 iD NOMAD 카드편도 226,100원~"
2024.03.15 Fri,에어부산,"15:35ICN17:30KIX직항, 01시간 55분","성인/Mile1 하나카드편도 228,400원~"
2024.03.15 Fri,이스타항공,"15:05ICN17:00KIX직항, 01시간 55분","성인/현대 M2/M3 Edition2(이용실적 충족시)편도 241,700원~"
2024.03.15 Fri,진에어,"08:50ICN10:35KIX직항, 01시간 45분","성인/KB국민카드(이용실적 충족시)편도 245,800원~"
2024.03.15 Fri,진에어,"15:00ICN16:40KIX직항, 01시간 40분","성인/KB국민카드(이용실적 충족시)편도 245,800원~"
2024.03.15 Fri,에어서울,"15:05ICN17:00KIX직항, 01시간 55분","성인/Mile1 하나카드편도 252,100원~"
2024.03.15 Fri,제주항공,"09:10ICN11:00KIX직항, 01시간 50분","성인/삼성카드편도 253,100원~"
2024.03.15 Fri,제주항공,"09:40ICN11:30KIX직항, 01시간 50분","성인/삼성카드편도 253,100원~"
2024.03.15 Fri,진에어,"14:05ICN16:00KIX직항, 01시간 55분","성인/KB국민카드(이용실적 충족시)편도 267,800원~"
2024.03.15 Fri,에어부산,"12:35ICN14:25KIX직항, 01시간 50분","성인/모든 결제수단편도 280,400원~"
2024.03.15 Fri,에어부산,"09:45ICN11:30KIX직항, 01시간 45분","성인/모든 결제수단편도 280,400원~"
2024.03.15 Fri,아시아나항공,"08:05ICN09:40KIX직항, 01시간 35분","성인/현대 M2/M3 Edition2(이용실적 충족시)편도 337,300원~"
2024.03.15 Fri,대한항공,"15:10ICN17:00KIX직항, 01시간 50분","성인/현대 M2/M3 Edition2(이용실적 충족시)편도 338,000원~"
2024.03.15 Fri,대한항공,"10:50ICN12:35KIX직항, 01시간 45분","성인/신한카드편도 346,200원~"
