날짜,항공사,출발시간,가격
2024.03.15 Fri,제주항공,"09:10ICN11:00KIX직항, 01시간 50분","성인/삼성 iD NOMAD 카드편도 254,300원~"
2024.03.15 Fri,제주항공,"09:40ICN11:30KIX직항, 01시간 50분","성인/삼성 iD NOMAD 카드편도 254,300원~"
2024.03.16 Sat,진에어,"08:00ICN09:45KIX직항, 01시간 45분","성인/현대 M2/M3 Edition2(이용실적 충족시)편도 265,000원~"
2024.03.16 Sat,진에어,"08:55ICN10:50KIX직항, 01시간 55분","성인/현대 M2/M3 Edition2(이용실적 충족시)편도 265,000원~"
2024.03.16 Sat,아시아나항공,"12:25ICN14:30KIX직항, 02시간 05분","성인/현대 M2/M3 Edition2(이용실적 충족시)편도 312,000원~"
2024.03.16 Sat,아시아나항공,"08:05ICN09:40KIX직항, 01시간 35분","성인/현대 M2/M3 Edition2(이용실적 충족시)편도 312,000원~"
2024.03.21 Thu,진에어,"14:05ICN16:00KIX직항, 01시간 55분","성인/NH채움카드편도 243,600원~"
2024.03.21 Thu,진에어,"15:00ICN16:40KIX직항, 01시간 40분","성인/NH채움카드편도 243,600원~"
2024.03.21 Thu,진에어,"08:00ICN09:45KIX직항, 01시간 45분","성인/NH채움카드편도 286,300원~"
2024.03.21 Thu,진에어,"08:55ICN10:50KIX직항, 01시간 55분","성인/NH채움카드편도 307,700원~"
2024.03.22 Fri,진에어,"14:05ICN16:00KIX직항, 01시간 55분","성인/NH채움카드편도 264,900원~"
2024.03.22 Fri,진에어,"15:00ICN16:40KIX직항, 01시간 40분","성인/NH채움카드편도 286,300원~"
2024.03.22 Fri,진에어,"08:55ICN10:50KIX직항, 01시간 55분","성인/NH채움카드편도 314,800원~"
2024.03.23 Sat,진에어,"15:00ICN16:40KIX직항, 01시간 40분","성인/NH채움카드편도 286,300원~"
2024.03.23 Sat,진에어,"12:25ICN14:30KIX직항, 02시간 05분","성인/NH채움카드편도 307,700원~"
2024.03.23 Sat,진에어,"08:00ICN09:45KIX직항, 01시간 45분","성인/NH채움카드편도 314,800원~"
2024.03.23 Sat,진에어,"08:55ICN10:50KIX직항, 01시간 55분","성인/NH채움카드편도 328,000원~"
2024.03.23 Sat,아시아나항공,"14:10ICN15:50KIX직항, 01시간 40분","성인/NH채움카드편도 345,000원~"
2024.03.23 Sat,대한항공,"19:05ICN21:00KIX직항, 01시간 55분","성인/NH채움카드편도 362,700원~"
2024.03.23 Sat,대한항공,"15:10ICN17:00KIX직항, 01시간 50분","성인/NH채움카드편도 362,700원~"
2024.03.24 Sun,진에어,"08:50ICN10:35KIX직항, 01시간 45분","성인/NH채움카드편도 264,900원~"
2024.03.24 Sun,진에어,"14:05ICN16:00KIX직항, 01시간 55분","성인/NH채움카드편도 264,900원~"
2024.03.24 Sun,진에어,"08:55ICN10:50KIX직항, 01시간 55분","성인/NH채움카드편도 286,300원~"
2024.03.24 Sun,진에어,"15:00ICN16:40KIX직항, 01시간 40분","성인/NH채움카드편도 286,300원~"
2024.03.24 Sun,아시아나항공,"14:10ICN15:50KIX직항, 01시간 40분","성인/NH채움카드편도 353,600원~"
2024.03.24 Sun,대한항공,"10:50ICN12:35KIX직항, 01시간 45분","성인/NH채움카드편도 362,700원~"
2024.03.25 Mon,진에어,"08:00ICN09:45KIX직항, 01시간 45분","성인/NH채움카드편도 222,200원~"
2024.03.25 Mon,진에어,"15:00ICN16:40KIX직항, 01시간 40분","성인/NH채움카드편도 243,600원~"
2024.03.25 Mon,진에어,"12:25ICN14:20KIX직항, 01시간 55분","성인/NH채움카드편도 243,600원~"
2024.03.25 Mon,아시아나항공,"14:10ICN15:50KIX직항, 01시간 40분","성인/NH채움카드편도 345,000원~"
2024.03.25 Mon,아시아나항공,"19:10ICN20:55KIX직항, 01시간 45분","성인/NH채움카드편도 353,600원~"
2024.03.25 Mon,대한항공,"15:10ICN17:00KIX직항, 01시간 50분","성인/NH채움카드편도 362,700원~"
2024.03.25 Mon,대한항공,"19:05ICN21:00KIX직항, 01시간 55분","성인/NH채움카드편도 362,700원~"
2024.03.26 Tue,진에어,"08:00ICN09:45KIX직항, 01시간 45분","성인/NH채움카드편도 174,100원~"
2024.03.26 Tue,진에어,"14:05ICN16:00KIX직항, 01시간 55분","성인/NH채움카드편도 190,100원~"
2024.03.26 Tue,진에어,"15:00ICN16:40KIX직항, 01시간 40분","성인/NH채움카드편도 206,100원~"
2024.03.26 Tue,진에어,"08:55ICN10:50KIX직항, 01시간 55분","성인/NH채움카드편도 206,100원~"
2024.03.26 Tue,아시아나항공,"08:05ICN09:40KIX직항, 01시간 35분","성인/NH채움카드편도 232,900원~"
2024.03.26 Tue,아시아나항공,"10:50ICN12:55KIX직항, 02시간 05분","성인/NH채움카드편도 280,400원~"
2024.03.26 Tue,아시아나항공,"14:10ICN15:50KIX직항, 01시간 40분","성인/NH채움카드편도 280,400원~"
2024.03.26 Tue,대한항공,"15:10ICN17:00KIX직항, 01시간 50분","성인/NH채움카드편도 346,600원~"
2024.03.26 Tue,대한항공,"09:00ICN10:45KIX직항, 01시간 45분","성인/NH채움카드편도 362,700원~"
2024.03.27 Wed,진에어,"14:05ICN16:00KIX직항, 01시간 55분","성인/NH채움카드편도 222,200원~"
2024.03.27 Wed,진에어,"08:00ICN09:45KIX직항, 01시간 45분","성인/NH채움카드편도 222,200원~"
2024.03.27 Wed,진에어,"15:00ICN16:40KIX직항, 01시간 40분","성인/NH채움카드편도 243,600원~"
2024.03.27 Wed,진에어,"08:55ICN10:50KIX직항, 01시간 55분","성인/NH채움카드편도 264,900원~"
2024.03.27 Wed,아시아나항공,"14:10ICN15:50KIX직항, 01시간 40분","성인/NH채움카드편도 345,000원~"
2024.03.27 Wed,아시아나항공,"08:05ICN09:40KIX직항, 01시간 35분","성인/NH채움카드편도 353,600원~"
2024.03.27 Wed,대한항공,"09:00ICN10:45KIX직항, 01시간 45분","성인/NH채움카드편도 354,200원~"
2024.03.27 Wed,대한항공,"15:10ICN17:00KIX직항, 01시간 50분","성인/NH채움카드편도 362,700원~"
2024.03.27 Wed,대한항공,"10:50ICN12:35KIX직항, 01시간 45분","성인/NH채움카드편도 362,700원~"
2024.03.28 Thu,진에어,"08:55ICN10:50KIX직항, 01시간 55분","성인/NH채움카드편도 328,000원~"
2024.03.28 Thu,진에어,"15:00ICN16:40KIX직항, 01시간 40분","성인/NH채움카드편도 328,000원~"
2024.03.28 Thu,진에어,"14:05ICN16:00KIX직항, 01시간 55분","성인/NH채움카드편도 328,000원~"
2024.03.28 Thu,진에어,"08:00ICN09:45KIX직항, 01시간 45분","성인/NH채움카드편도 328,000원~"
2024.03.28 Thu,대한항공,"10:50ICN12:35KIX직항, 01시간 45분","성인/NH채움카드편도 354,200원~"
2024.03.29 Fri,이스타항공,"09:05ICN10:55KIX직항, 01시간 50분","성인/현대 M2/M3 Edition2(이용실적 충족시)편도 295,200원~"
2024.03.29 Fri,진에어,"15:00ICN16:40KIX직항, 01시간 40분","성인/삼성 iD NOMAD 카드편도 307,700원~"
2024.03.29 Fri,진에어,"14:05ICN16:00KIX직항, 01시간 55분","성인/삼성 iD NOMAD 카드편도 314,800원~"
2024.03.29 Fri,진에어,"08:50ICN10:35KIX직항, 01시간 45분","성인/삼성 iD NOMAD 카드편도 328,000원~"
2024.03.29 Fri,진에어,"08:55ICN10:50KIX직항, 01시간 55분","성인/삼성 iD NOMAD 카드편도 328,000원~"
2024.03.30 Sat,진에어,"15:00ICN16:40KIX직항, 01시간 40분","성인/삼성 iD NOMAD 카드편도 264,900원~"
2024.03.30 Sat,아시아나항공,"12:25ICN14:30KIX직항, 02시간 05분","성인/현대 M2/M3 Edition2(이용실적 충족시)편도 301,400원~"
2024.03.30 Sat,진에어,"12:25ICN14:30KIX직항, 02시간 05분","성인/삼성 iD NOMAD 카드편도 328,000원~"
2024.03.30 Sat,진에어,"08:00ICN09:45KIX직항, 01시간 45분","성인/삼성 iD NOMAD 카드편도 328,000원~"
2024.03.30 Sat,진에어,"08:55ICN10:50KIX직항, 01시간 55분","성인/삼성 iD NOMAD 카드편도 328,000원~"
2024.03.31 Sun,진에어,"10:10ICN12:00KIX직항, 01시간 50분","성인/삼성 iD NOMAD 카드편도 264,900원~"
2024.03.31 Sun,진에어,"16:05ICN18:00KIX직항, 01시간 55분","성인/삼성 iD NOMAD 카드편도 264,900원~"
2024.03.31 Sun,진에어,"07:40ICN09:30KIX직항, 01시간 50분","성인/삼성 iD NOMAD 카드편도 286,300원~"
2024.03.31 Sun,아시아나항공,"07:55ICN09:40KIX직항, 01시간 45분","성인/현대 M2/M3 Edition2(이용실적 충족시)편도 301,400원~"
2024.04.04 Thu,아시아나항공,"07:55ICN09:40KIX직항, 01시간 45분","성인/삼성카드편도 223,400원~"
2024.04.04 Thu,아시아나항공,"19:20ICN21:05KIX직항, 01시간 45분","성인/현대 M2/M3 Edition2(이용실적 충족시)편도 285,300원~"
2024.03.15 Fri,이스타항공,"18:00KIX19:50ICN직항, 01시간 50분","성인/KB국민카드(이용실적 충족시)편도 180,500원~"
2024.03.15 Fri,이스타항공,"11:50KIX13:50ICN직항, 02시간 00분","성인/KB국민카드(이용실적 충족시)편도 180,500원~"
2024.03.15 Fri,진에어,"18:00KIX19:55ICN직항, 01시간 55분","성인/KB국민카드(이용실적 충족시)편도 185,200원~"
2024.03.15 Fri,에어서울,"16:00KIX17:55ICN직항, 01시간 55분","성인/모든 결제수단편도 195,700원~"
2024.03.15 Fri,진에어,"11:55KIX14:00ICN직항, 02시간 05분","성인/KB국민카드(이용실적 충족시)편도 199,900원~"
2024.03.15 Fri,진에어,"12:35KIX14:35ICN직항, 02시간 00분","성인/KB국민카드(이용실적 충족시)편도 214,700원~"
2024.03.15 Fri,진에어,"17:00KIX19:10ICN직항, 02시간 10분","성인/KB국민카드(이용실적 충족시)편도 214,700원~"
2024.03.15 Fri,에어서울,"09:55KIX11:55ICN직항, 02시간 00분","성인/KB국민카드(이용실적 충족시)편도 219,800원~"
2024.03.15 Fri,에어서울,"18:00KIX20:05ICN직항, 02시간 05분","성인/KB국민카드(이용실적 충족시)편도 219,800원~"
2024.03.15 Fri,제주항공,"19:40KIX21:40ICN직항, 02시간 00분","성인/KB국민카드(이용실적 충족시)편도 230,200원~"
2024.03.15 Fri,대한항공,"11:55KIX14:00ICN직항, 02시간 05분","성인/KB국민카드(이용실적 충족시)편도 251,200원~"
2024.03.15 Fri,대한항공,"13:45KIX15:45ICN직항, 02시간 00분","성인/KB국민카드(이용실적 충족시)편도 252,800원~"
2024.03.15 Fri,제주항공,"09:50KIX11:50ICN직항, 02시간 00분","성인/KB국민카드(이용실적 충족시)편도 254,800원~"
2024.03.15 Fri,아시아나항공,"09:00KIX11:00ICN직항, 02시간 00분","성인/KB국민카드(이용실적 충족시)편도 263,400원~"
2024.03.15 Fri,아시아나항공,"10:50KIX12:50ICN직항, 02시간 00분","성인/KB국민카드(이용실적 충족시)편도 263,400원~"
